features,S00Q1-0001,S00Q1-0020,S00Q1-0028,S00Q1-0030,S00Q1-0011,DNA-3CLD,S00Q1-0027,S00Q1-0008,S00Q1-0012,S00Q1-0004,S00Q1-0025,S00Q1-0024,S00Q1-0007,DNA-3CLC,S00Q1-0018,S00Q1-0026,S00Q1-0002,S00Q1-0019,S00Q1-0022,S00Q1-0006,S00Q1-0029,S00Q1-0003,S00Q1-0023,S00Q1-0013,S00Q1-0021,S00Q1-0010,S00Q1-0014,S00Q1-0017,S00Q1-0015,S00Q1-0005,S00Q1-0016,S00Q1-0009
k__Bacteria; p__; c__; o__; f__; g__; s__,18130,21414,29276,13010,780,89,13501,13488,354,50715,22545,13869,15653,71,6561,24842,17709,29748,23029,51682,10473,40371,27849,179,9787,49119,29942,52644,40067,44765,47957,12059
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__sp. MWH-Spelu-300-X4,2,0,3,1,0,0,0,3,0,1,12,4,1,0,4,8,1,1,0,2,1,44,2,0,3,9,1,16,6,4,9,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__sp. MWH-UH25E,2,1,4,0,0,0,0,0,0,0,0,0,2,0,4,1,4,0,2,0,0,1,4,0,0,0,18,1,0,5,2,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__sp. Adler-ghost,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,5,0,3,0,2,4,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__sp. AP-Ainpum-60-G11,1,3,2,1,0,0,0,0,0,2,2,2,0,0,0,4,3,5,37,1,0,2,1,0,0,4,0,0,5,1,3,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__sp. AP-Kolm-20A-A1,1,1,0,0,0,0,9,0,0,1,1,1,1,0,0,0,4,0,89,2,3,3,0,0,0,4,0,4,14,2,4,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__sp. es-EL-1,1,2,0,1,0,0,0,4,0,46,3,1,9,0,4,0,0,0,4,6,2,1,1,0,0,2,1,14,0,0,5,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__sp. MWH-UH2A,1,0,6,4,0,0,2,2,0,0,2,3,2,0,0,1,0,2,8,7,0,0,17,0,0,1,7,0,10,21,8,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__wuianus,13,4,0,0,2,0,0,2,0,0,0,1,3,0,4,15,10,5,1,2,8,13,3,0,1,7,4,27,5,1,10,3
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__duraquae,8,6,0,0,0,0,0,0,0,0,1,0,2,0,0,8,8,0,0,2,0,6,0,0,1,0,0,0,0,0,2,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__necessarius,7,17,4,11,0,0,42,21,0,13,22,17,15,0,12,13,4,16,37,87,1,58,15,0,5,45,3,100,43,64,94,2
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__paneuropaeus,4,4,0,0,0,0,2,8,0,0,5,1,3,0,2,7,3,0,0,0,4,8,0,0,3,0,1,5,2,0,0,1
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__acidiphobus,2,1,11,1,0,0,6,0,0,127,8,0,3,0,1,1,0,0,25,46,0,9,10,0,0,10,7,2,18,16,47,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__asymbioticus,2,4,3,0,0,0,3,0,0,2,8,0,5,0,0,2,1,5,7,11,2,0,5,0,1,1,11,3,13,9,14,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__arcticus,2,0,1,0,0,0,0,0,0,7,4,3,4,0,1,1,0,1,4,16,0,0,11,0,2,6,13,5,3,15,14,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__paludilacus,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,3,0,5,34,0,11,0,0,0,9,0,16,0,8,4,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia; s__,89,100,102,43,7,0,37,46,2,70,64,37,24,0,13,80,69,107,42,77,24,217,89,0,27,320,70,72,128,137,80,62
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia; s__pickettii,63,59,16,12,0,0,3,3,0,11,15,4,32,0,7,11,79,72,8,18,2,8,20,0,13,5,10,41,9,23,18,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia; s__solanacearum,60,75,91,62,2,0,64,20,0,135,179,37,29,0,9,85,60,155,74,163,42,158,87,1,20,256,86,147,259,144,128,27
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Pandoraea; s__,3,15,74,19,0,0,3,11,0,14,145,6,40,1,5,0,12,18,8,30,11,1,39,0,4,112,58,63,40,65,23,5
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Pandoraea; s__norimbergensis,82,80,45,14,0,0,18,6,0,17,11,17,6,0,5,34,154,74,34,30,1,131,30,0,10,50,19,19,44,98,30,8
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Pandoraea; s__pnomenusa,57,71,40,17,0,1,15,12,0,68,41,12,14,0,2,62,68,82,26,45,5,72,41,0,13,81,33,75,65,81,66,3
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Pandoraea; s__pulmonicola,31,24,108,10,4,0,15,3,0,486,1,19,3,0,0,0,18,32,45,135,0,6,50,0,5,47,45,42,65,99,168,5
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Pandoraea; s__sputorum,17,28,0,0,0,0,1,0,0,3,0,6,1,0,0,15,4,15,4,16,0,5,5,0,3,14,0,6,9,34,18,4
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Pandoraea; s__apista,5,21,5,2,1,0,11,4,0,7,55,16,5,0,2,35,16,19,12,44,2,95,41,0,9,53,6,57,17,34,50,1
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Pandoraea; s__thiooxydans,5,15,9,21,0,0,16,5,0,19,12,5,1,0,0,19,12,24,8,28,5,13,49,0,2,50,15,10,39,34,25,7
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Pandoraea; s__vervacti,4,8,10,5,0,0,7,0,0,5,14,5,4,0,0,0,0,10,9,49,0,1,3,0,0,6,13,2,25,11,11,2
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Pandoraea; s__oxalativorans,1,10,7,20,1,1,9,3,0,24,29,11,1,0,0,0,0,1,19,33,3,3,34,1,3,42,12,50,42,8,21,6
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Pandoraea; s__faecigallinarum,1,0,13,1,0,0,5,6,0,1,13,4,11,0,18,6,4,6,5,16,4,8,27,1,0,18,3,30,27,21,25,5
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Pandoraea; s__fibrosis,1,5,2,11,0,0,2,20,0,8,10,14,22,0,2,2,0,13,12,21,2,2,6,0,0,19,14,112,37,3,30,6
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Pandoraea; s__sp. XY-2,1,4,24,4,1,0,8,0,0,22,4,0,3,0,3,5,0,4,7,28,0,19,19,0,5,21,18,32,24,34,6,4
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Caballeronia; s__,3,11,2,1,0,0,2,0,0,7,0,5,22,0,0,1,1,11,3,38,14,2,7,0,2,36,34,178,4,15,4,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Caballeronia; s__sp. Lep1P3,11,8,8,6,0,0,12,8,0,68,14,11,26,0,2,13,16,19,6,41,0,71,9,0,6,21,14,78,43,19,32,12
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Caballeronia; s__sp. TF1N1,6,52,2,3,0,1,8,4,1,36,15,1,5,0,0,12,4,42,14,34,7,12,30,0,5,9,5,59,22,32,23,3
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Caballeronia; s__sp. M1242,5,3,2,9,0,0,3,13,0,3,29,7,30,0,10,64,16,30,4,37,12,185,21,0,9,29,26,126,3,36,18,3
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Caballeronia; s__insecticola,21,25,23,17,1,0,11,18,0,154,17,8,28,0,10,19,14,37,49,139,19,47,25,0,8,78,91,133,46,109,70,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Caballeronia; s__grimmiae,17,7,34,32,0,0,9,4,0,11,33,12,1,0,2,23,17,5,35,40,0,255,110,0,1,81,12,17,38,45,41,4
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Caballeronia; s__zhejiangensis,3,7,15,7,0,0,6,7,0,44,17,13,15,0,10,38,5,33,26,37,6,77,5,1,10,59,9,75,61,26,38,2
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Lautropia; s__mirabilis,98,48,29698,68310,243,27,17884,38,26,14947,143,68,38,29,18,20,77,20,149451,10033,17,114,16215,10,967,196,46224,177,95856,3428,165294,9104
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Chitinimonas; s__arctica,17,1,32,0,1,0,3,0,0,5,8,3,8,0,2,18,6,12,0,42,5,7,41,0,16,34,235,55,6,42,8,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Mycoavidus; s__sp. SF9855,9,13,0,0,0,0,0,1,0,0,0,0,2,0,0,0,8,19,1,7,0,0,0,0,5,2,0,1,0,0,3,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ephemeroptericola; s__cinctiostellae,7,26,15,1,0,0,2,2,0,5,5,6,1,0,0,0,6,72,3,11,0,12,30,0,3,7,2,8,14,30,19,1
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Candidatus Vallotia; s__sp. (ex Adelges kitamiensis),2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,15,0,0,2,0,0,6,1,0,0,5,0,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Candidatus Vallotia; s__tarda,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,2,1,1,1,0,0,0,0,1,0,0,1,0,1,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Candidatus Vallotia; s__lariciata,1,1,2,1,0,0,2,4,0,2,15,23,8,0,10,31,1,7,4,1,4,76,6,0,2,6,9,37,1,13,7,2
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__,55,100,79,70,8,4,60,34,2,1015,95,59,80,3,44,76,47,125,154,555,35,305,142,0,28,195,107,623,270,378,658,106
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__,16,9,20,26,1,0,4,17,0,70,39,8,22,0,24,52,13,29,25,57,4,110,35,0,1,83,11,145,38,29,60,5
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__sp. HDW3,49,69,11,16,0,0,6,1,0,6,10,3,5,0,0,2,52,69,17,29,6,14,40,0,16,15,9,26,49,21,60,10
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__sp. JMULE5,42,26,23,10,0,0,21,10,0,52,8,8,15,0,1,75,37,34,5,46,7,114,34,0,5,47,3,31,73,25,30,4
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__sp. YS12,26,32,53,38,0,0,13,12,1,23,36,21,13,1,10,20,45,42,5,74,8,42,70,0,7,71,61,70,57,61,55,13
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__sp. KKS102,13,15,72,8,0,0,8,4,0,11,16,1,3,0,0,60,9,20,14,36,0,9,50,0,0,29,26,23,19,56,21,2
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__sp. 1608163,3,3,23,4,0,0,4,3,0,4,12,1,3,1,1,7,1,7,14,16,3,3,30,0,1,7,10,8,36,24,24,1
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__sp. T1,1,41,38,17,1,0,11,9,0,186,48,9,12,0,0,0,2,67,14,94,18,1,98,0,1,131,54,14,23,226,43,3
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__monticola,58,44,26,7,0,0,9,4,1,11,44,8,15,0,6,4,60,40,29,22,6,43,32,0,41,24,27,168,16,11,14,6
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__radicis,42,35,33,7,1,1,4,1,0,85,4,1,3,0,0,6,43,23,5,42,0,13,31,0,10,7,12,20,37,64,60,2
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__antarcticus,41,51,11,8,2,0,5,12,0,139,22,4,2,0,7,29,62,39,5,110,5,109,23,0,10,14,10,63,32,31,60,4
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__carolinensis,23,13,18,6,1,0,10,4,0,4,12,3,0,0,0,27,23,23,13,17,1,54,18,0,15,73,11,39,16,41,18,4
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__avenae,17,31,175,44,1,0,64,31,0,269,43,26,44,0,6,38,11,50,93,163,20,24,103,0,3,126,141,256,218,204,116,21
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__citrulli,9,5,6,15,0,0,27,14,0,13,11,7,17,0,6,5,0,20,19,27,8,17,14,0,0,26,17,121,102,31,20,1
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__cattleyae,1,1,3,1,0,0,1,2,0,4,3,1,8,0,2,1,5,3,5,9,0,59,6,0,0,15,8,8,3,1,3,3
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__,89,84,33,23,0,1,25,1,0,124,41,8,3,1,1,9,107,125,50,72,1,92,64,0,21,81,33,90,61,130,82,16
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__sp. HW608,16,19,24,19,0,0,36,70,0,26,22,62,107,0,20,25,30,17,24,74,53,77,138,0,7,73,88,246,109,119,36,6
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__sp. PBL-E5,13,17,49,1,1,0,1,6,0,69,1,0,7,1,0,12,22,26,3,32,0,63,8,0,4,5,52,11,14,13,20,3
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__sp. PBS-H4,11,24,9,32,1,0,21,30,0,300,12,21,31,0,3,23,9,20,14,88,16,27,21,0,1,66,10,230,77,74,62,8
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__sp. WDL1,10,5,54,4,0,1,24,7,0,117,3,5,23,0,5,52,21,28,19,56,2,45,55,0,6,17,4,131,60,55,42,9
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__sp. RKNM96,10,10,124,11,0,0,7,7,0,267,6,0,3,0,3,5,5,11,15,99,0,13,76,0,0,18,79,15,44,231,33,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__sp. PAMC26660,8,11,24,11,0,0,6,8,1,16,42,11,14,1,4,15,1,25,15,43,2,15,33,0,0,27,17,59,29,91,47,9
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__sp. PBL-H6,5,12,24,11,3,0,28,8,0,32,33,21,11,0,9,11,16,21,5,37,4,36,38,0,3,67,10,37,53,89,8,11
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__sp. PAMC28562,5,16,7,17,0,0,10,1,0,9,16,6,0,0,1,1,1,37,24,35,5,14,23,0,1,49,12,27,40,26,61,2
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__sp. PAMC 28711,5,8,89,8,0,0,26,0,0,319,1,1,4,0,3,0,2,17,18,60,2,1,98,0,0,23,43,5,112,64,59,3
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__sp. 38R,2,3,7,1,0,0,5,2,0,43,13,5,2,0,0,10,0,22,19,23,0,13,14,1,4,13,6,36,27,13,28,4
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__sp. SRS16,1,11,4,3,0,0,1,2,0,11,8,0,1,0,2,4,1,45,1,27,7,0,7,0,0,47,8,4,34,9,16,2
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__sp. RA8,1,11,15,0,0,1,5,1,0,127,8,12,3,0,0,2,0,16,14,20,3,19,36,0,2,32,7,51,62,22,56,1
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__paradoxus,49,113,319,123,5,0,104,28,1,840,102,26,55,1,10,46,35,123,86,297,16,240,175,0,7,303,206,327,323,256,283,80
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__boronicumulans,18,20,7,2,0,0,3,11,0,139,6,23,12,0,5,21,11,47,12,34,4,16,11,0,13,19,3,277,14,11,16,1
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Diaphorobacter; s__,12,16,26,9,0,1,26,9,1,65,12,23,12,0,1,8,6,20,6,31,17,5,14,0,9,27,20,38,34,16,28,5
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Diaphorobacter; s__sp. JS3051,60,26,1,3,0,0,2,22,0,1,3,10,21,0,12,38,73,8,0,6,15,11,1,0,45,12,4,35,15,6,6,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Diaphorobacter; s__sp. HDW4A,42,37,17,9,3,0,9,3,0,10,11,12,4,0,1,25,58,98,8,59,8,108,82,0,9,82,21,43,7,69,16,2
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Diaphorobacter; s__ruginosibacter,35,37,26,15,0,0,14,15,0,19,63,9,11,0,3,81,7,80,25,10,13,55,15,0,14,92,30,190,23,90,34,44
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Diaphorobacter; s__aerolatus,3,11,0,7,0,0,11,5,0,228,31,3,25,0,15,40,9,15,8,80,6,64,18,0,4,41,0,114,15,22,85,3
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Diaphorobacter; s__nitroreducens,1,3,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,6,0,5,0,0,0,0,0,9,0,11,3,3,8,3
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia; s__,24,37,38,50,0,0,23,35,0,302,59,16,44,2,18,73,12,62,26,138,21,120,67,0,4,107,30,206,94,62,87,15
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia; s__acidovorans,114,101,36,31,0,0,13,7,1,156,70,5,36,0,6,10,140,134,12,47,3,64,41,0,19,62,28,39,47,53,32,3
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia; s__tsuruhatensis,3,11,27,12,3,0,28,1,1,32,20,7,11,1,9,10,0,27,16,38,1,8,44,0,2,14,32,78,79,34,62,6
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia; s__lacustris,1,9,72,6,0,0,15,1,0,6,8,0,0,0,0,2,5,3,8,5,0,1,13,0,0,2,36,3,38,9,42,2
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia; s__sp. HK171,1,0,3,0,0,0,0,0,0,3,6,0,0,0,0,0,0,2,4,4,1,0,2,0,0,4,3,2,10,0,5,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__,4,3,49,6,0,0,6,6,0,8,6,2,7,0,1,2,0,8,7,22,7,5,15,0,0,11,23,68,25,53,12,3
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__sp. YM1,52,56,68,28,2,0,4,9,1,87,20,11,8,2,2,18,52,51,13,52,4,22,56,0,22,37,35,15,35,88,61,12
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__sp. NH-16,28,42,1,0,1,0,0,7,0,1,3,6,6,0,4,1,30,38,5,23,2,28,5,0,6,6,3,22,0,2,4,1
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__sp. PAMC20947,12,24,13,3,0,0,6,17,0,10,8,7,30,0,27,26,12,8,1,16,5,40,10,0,9,34,7,71,29,35,34,17
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__sp. PBC,6,6,146,18,0,0,19,7,0,67,58,9,19,0,6,42,11,30,22,48,15,123,63,0,4,34,60,83,67,176,67,4
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__sp. PBL-H3,4,8,29,4,0,0,12,4,0,47,1,3,6,0,4,1,3,22,4,37,5,21,54,0,1,9,29,75,58,99,26,3
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__sp. BPS33,4,10,3,4,1,0,7,2,0,18,10,5,2,0,1,0,0,22,5,35,1,0,98,0,0,48,12,73,68,32,25,3
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__sp. SL48,4,17,54,15,4,0,135,9,0,228,24,7,11,0,5,30,0,29,71,72,0,8,47,0,4,57,29,36,77,117,100,33
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__sp. BA0156,3,4,100,10,1,0,9,31,1,35,19,13,33,0,2,10,5,9,7,35,13,0,41,0,6,19,89,50,34,84,39,10
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__sp. RAC07,1,2,16,13,0,0,6,9,0,6,12,1,18,0,10,5,1,5,16,4,1,2,13,0,6,9,16,61,26,29,28,6
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__crassostreae,9,10,0,1,0,0,8,4,0,74,27,1,3,0,5,1,1,3,9,76,1,5,7,0,0,16,3,8,30,31,30,6
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__taeniospiralis,6,20,10,9,0,0,6,4,0,16,23,1,2,0,2,5,0,26,3,19,4,2,58,0,0,24,23,7,6,118,16,5
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhodoferax; s__sp. BAB1,61,69,69,16,0,0,9,509,0,56,33,480,394,0,9,5,77,78,7,152,344,6,75,0,20,186,162,138,39,73,59,11
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhodoferax; s__sp. MIZ03,4,7,1,2,0,0,0,9,0,47,1,4,7,0,9,11,6,6,7,41,2,15,8,0,0,35,5,56,14,18,25,6
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhodoferax; s__sp. AJA081-3,3,6,10,8,0,0,18,0,0,92,15,2,0,1,0,10,5,21,39,155,1,12,15,0,0,45,11,29,59,53,58,5
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhodoferax; s__ferrireducens,24,12,7,1,0,0,4,0,0,3,5,3,3,1,10,1,9,21,11,20,0,3,7,0,2,18,1,26,11,12,18,0
